"Povpreène meseène plaèe po: SKD DEJAVNOST, UPRAVNA ENOTA, MESEC,"
" ";" ";"2011M12";1371.17;911.74
" ";" ";"2012M01";1351.05;900.84
" ";" ";"2012M02";1337.85;892.31
" ";" ";"2012M03";1348.51;899.60
" ";" ";"2012M04";1339.48;893.68
" ";" ";"2012M05";1359.92;904.70
" ";" ";"2012M06";1326.41;886.48
" ";" ";"2012M07";1322.90;885.19
" ";" ";"2012M08";1330.73;889.01
" ";" ";"2012M09";1323.19;885.15
" ";" ";"2012M10";1348.02;899.96
" ";" ";"2012M11";1378.14;914.12
" ";" ";"2012M12";1346.54;902.67
" ";" ";"2013M01";1337.61;899.00
" ";" ";"2013M02";1318.10;888.02
" ";" ";"2013M03";1330.64;893.91
" ";" ";"2013M04";1341.27;897.81
" ";" ";"2013M05";1352.73;906.66
" ";" ";"2013M06";1322.15;890.13
" ";" ";"2013M07";1334.92;897.09
" ";" ";"2013M08";1310.46;882.26
" ";" ";"2013M09";1333.49;896.22
" ";" ";"2013M10";1354.65;908.19
" ";" ";"2013M11";1398.60;928.24
" ";" ";"2013M12";1373.56;914.03
" ";" ";"2014M01";1358.13;910.40
" ";" ";"2014M02";1334.90;896.05
" ";" ";"2014M03";1347.63;901.70
" ";" ";"2014M04";1364.46;911.90
" ";" ";"2014M05";1406.76;936.02
" ";" ";"2014M06";1389.76;928.54
" ";" ";"2014M07";1379.08;921.33
" ";" ";"2014M08";1350.36;905.33
" ";" ";"2014M09";1373.80;918.22
" ";" ";"2014M10";1403.42;934.51
" ";" ";"2014M11";1435.32;954.83
" ";" ";"2014M12";1425.92;942.56
" ";" ";"2015M01";1380.84;922.49
" ";" ";"2015M02";1354.02;912.86
" ";" ";"2015M03";1384.91;921.03
" ";" ";"2015M04";1392.43;925.73
" ";" ";"2015M05";1405.22;932.55
" ";" ";"2015M06";1387.15;925.20
" ";" ";"2015M07";1381.50;921.33
" ";" ";"2015M08";1381.55;922.29
" ";" ";"2015M09";1405.38;936.48
" ";"Novo mesto"
" ";" ";"2005M01";1228.44;783.67
" ";" ";"2005M02";1134.07;731.77
" ";" ";"2005M03";1172.54;751.71
" ";" ";"2005M04";1169.70;750.86
" ";" ";"2005M05";1179.49;756.92
" ";" ";"2005M06";1185.81;757.78
" ";" ";"2005M07";1184.18;756.71
" ";" ";"2005M08";1321.59;831.31
" ";" ";"2005M09";1209.72;772.08
" ";" ";"2005M10";1204.09;767.53
" ";" ";"2005M11";1434.71;896.65
" ";" ";"2005M12";1240.94;794.23
" ";" ";"2006M01";1348.08;854.03
" ";" ";"2006M02";1172.80;760.56
" ";" ";"2006M03";1256.58;800.22
" ";" ";"2006M04";1181.99;740.08
" ";" ";"2006M05";1236.45;790.42
" ";" ";"2006M06";1218.38;783.53
" ";" ";"2006M07";1223.22;785.66
" ";" ";"2006M08";1384.92;869.30
" ";" ";"2006M09";1234.00;791.68
" ";" ";"2006M10";1285.90;815.41
" ";" ";"2006M11";1490.80;936.55
" ";" ";"2006M12";1297.51;834.51
" ";" ";"2007M01";1421.43;921.70
" ";" ";"2007M02";1236.19;815.86
" ";" ";"2007M03";1279.73;840.58
" ";" ";"2007M04";1288.31;841.06
" ";" ";"2007M05";1312.41;860.43
" ";" ";"2007M06";1286.91;846.90
" ";" ";"2007M07";1310.00;857.35
" ";" ";"2007M08";1458.57;939.94
" ";" ";"2007M09";1280.84;839.08
" ";" ";"2007M10";1355.70;881.74
" ";" ";"2007M11";1597.08;1001.06
" ";" ";"2007M12";1359.30;893.44
" ";" ";"2008M01";1564.85;998.68
" ";" ";"2008M02";1374.84;901.20
" ";" ";"2008M03";1410.63;921.06
" ";" ";"2008M04";1421.01;922.05
" ";" ";"2008M05";1404.04;917.62
" ";" ";"2008M06";1384.23;905.30
" ";" ";"2008M07";1422.18;927.96
" ";" ";"2008M08";1564.99;1005.60
" ";" ";"2008M09";1434.25;935.07
" ";" ";"2008M10";1473.28;954.53
" ";" ";"2008M11";1731.34;1092.10
" ";" ";"2008M12";1488.36;979.92
" ";" ";"2009M01";1556.25;1006.88
" ";" ";"2009M02";1405.51;929.85
" ";" ";"2009M03";1464.09;954.93
" ";" ";"2009M04";1465.27;954.54
" ";" ";"2009M05";1446.50;945.57
" ";" ";"2009M06";1484.01;961.55
" ";" ";"2009M07";1480.44;963.75
" ";" ";"2009M08";1534.54;993.71
" ";" ";"2009M09";1473.73;963.12
" ";" ";"2009M10";1488.93;968.97
" ";" ";"2009M11";1795.97;1142.59
" ";" ";"2009M12";1562.65;1010.67
" ";" ";"2010M01";1598.81;1034.29
" ";" ";"2010M02";1458.84;957.69
" ";" ";"2010M03";1591.19;1030.60
" ";" ";"2010M04";1552.40;1006.14
" ";" ";"2010M05";1510.17;987.57
" ";" ";"2010M06";1526.37;996.45
" ";" ";"2010M07";1542.66;1006.97
" ";" ";"2010M08";1689.31;1084.58
" ";" ";"2010M09";1527.49;999.27
" ";" ";"2010M10";1518.32;992.60
" ";" ";"2010M11";1847.11;1172.03
" ";" ";"2010M12";1604.35;1040.79
" ";" ";"2011M01";1680.10;1086.63
" ";" ";"2011M02";1518.12;996.80
" ";" ";"2011M03";1667.59;1073.41
" ";" ";"2011M04";1574.96;1024.36
" ";" ";"2011M05";1582.51;1028.27
" ";" ";"2011M06";1572.93;1024.00
" ";" ";"2011M07";1541.87;1007.52
" ";" ";"2011M08";1809.89;1157.94
" ";" ";"2011M09";1587.45;1032.02
" ";" ";"2011M10";1579.00;1026.36
" ";" ";"2011M11";1944.68;1215.89
" ";" ";"2011M12";1594.29;1034.85
" ";" ";"2012M01";1750.66;1128.16
" ";" ";"2012M02";1573.31;1027.87
" ";" ";"2012M03";1705.03;1092.97
" ";" ";"2012M04";1607.49;1044.35
" ";" ";"2012M05";1637.14;1057.59
" ";" ";"2012M06";1568.45;1024.54
" ";" ";"2012M07";1614.31;1045.23
" ";" ";"2012M08";1771.54;1133.79
" ";" ";"2012M09";1549.76;1024.48
" ";" ";"2012M10";1628.89;1056.39
" ";" ";"2012M11";1875.91;1176.25
" ";" ";"2012M12";1614.53;1055.58
" ";" ";"2013M01";1813.48;1171.14
" ";" ";"2013M02";1559.29;1027.13
" ";" ";"2013M03";1610.47;1048.77
" ";" ";"2013M04";1642.28;1068.05
" ";" ";"2013M05";1640.34;1072.54
" ";" ";"2013M06";1576.67;1033.36
" ";" ";"2013M07";1626.24;1063.71
" ";" ";"2013M08";1807.36;1159.34
" ";" ";"2013M09";1579.95;1037.77
" ";" ";"2013M10";1642.51;1072.35
" ";" ";"2013M11";1897.12;1211.00
" ";" ";"2013M12";1631.92;1066.26
" ";" ";"2014M01";1859.39;1191.29
" ";" ";"2014M02";1571.45;1032.48
" ";" ";"2014M03";1668.97;1075.00
" ";" ";"2014M04";1645.29;1071.11
" ";" ";"2014M05";1638.00;1066.62
" ";" ";"2014M06";1630.39;1064.52
" ";" ";"2014M07";1828.94;1164.23
" ";" ";"2014M08";1820.70;1157.86
" ";" ";"2014M09";1636.52;1067.84
" ";" ";"2014M10";1699.57;1099.49
" ";" ";"2014M11";1920.45;1230.78
" ";" ";"2014M12";1725.49;1118.05
" ";" ";"2015M01";1828.48;1177.82
" ";" ";"2015M02";1593.48;1044.07
" ";" ";"2015M03";1702.77;1093.28
" ";" ";"2015M04";1708.54;1104.31
" ";" ";"2015M05";1618.29;1057.28
" ";" ";"2015M06";1643.59;1069.52
" ";" ";"2015M07";1661.23;1077.86
" ";" ";"2015M08";1836.74;1171.77
" ";" ";"2015M09";1628.59;1062.31
" ";"Postojna"
" ";" ";"2005M01";1021.10;667.47
" ";" ";"2005M02";1009.78;661.59
" ";" ";"2005M03";1047.00;682.05
" ";" ";"2005M04";1034.68;676.10
" ";" ";"2005M05";1057.38;688.38
" ";" ";"2005M06";1063.11;689.86
" ";" ";"2005M07";1052.19;684.70
" ";" ";"2005M08";1089.34;705.67
" ";" ";"2005M09";1082.60;701.11
" ";" ";"2005M10";1071.04;694.57
" ";" ";"2005M11";1138.84;729.88
" ";" ";"2005M12";1107.78;716.81
" ";" ";"2006M01";1073.74;701.48
" ";" ";"2006M02";1060.45;694.41
" ";" ";"2006M03";1096.47;713.65
" ";" ";"2006M04";1076.48;701.77
" ";" ";"2006M05";1132.97;732.91
" ";" ";"2006M06";1110.53;721.25
" ";" ";"2006M07";1098.53;715.20
" ";" ";"2006M08";1130.44;733.56
" ";" ";"2006M09";1126.83;729.89
" ";" ";"2006M10";1130.41;730.85
" ";" ";"2006M11";1206.78;772.92
" ";" ";"2006M12";1140.57;759.06
" ";" ";"2007M01";1143.92;761.97
" ";" ";"2007M02";1112.05;742.49
" ";" ";"2007M03";1165.14;771.89
" ";" ";"2007M04";1151.26;765.00
" ";" ";"2007M05";1191.03;787.77
" ";" ";"2007M06";1175.12;785.16
" ";" ";"2007M07";1183.82;781.97
" ";" ";"2007M08";1185.96;787.32
" ";" ";"2007M09";1157.89;768.27
" ";" ";"2007M10";1195.12;790.83
" ";" ";"2007M11";1292.10;837.09
" ";" ";"2007M12";1215.16;806.51
" ";" ";"2008M01";1220.32;812.78
" ";" ";"2008M02";1213.63;808.83
" ";" ";"2008M03";1219.83;812.12
" ";" ";"2008M04";1244.09;820.99
" ";" ";"2008M05";1290.16;846.25
" ";" ";"2008M06";1237.69;819.49
" ";" ";"2008M07";1293.06;849.83
" ";" ";"2008M08";1283.12;839.09
" ";" ";"2008M09";1302.80;854.80
" ";" ";"2008M10";1293.14;850.13
" ";" ";"2008M11";1379.94;882.31
" ";" ";"2008M12";1314.21;866.21
" ";" ";"2009M01";1276.15;846.07
" ";" ";"2009M02";1239.44;825.97
" ";" ";"2009M03";1278.60;849.19
" ";" ";"2009M04";1282.41;855.79
" ";" ";"2009M05";1267.97;843.07
" ";" ";"2009M06";1279.76;850.24
" ";" ";"2009M07";1283.61;846.21
" ";" ";"2009M08";1256.63;836.74
" ";" ";"2009M09";1262.28;840.44
" ";" ";"2009M10";1275.54;846.30
" ";" ";"2009M11";1314.99;868.71
" ";" ";"2009M12";1309.26;867.78
" ";" ";"2010M01";1273.23;845.69
" ";" ";"2010M02";1256.35;822.07
" ";" ";"2010M03";1307.23;869.47
" ";" ";"2010M04";1303.83;865.63
" ";" ";"2010M05";1291.91;860.64
" ";" ";"2010M06";1334.15;885.75
" ";" ";"2010M07";1323.49;875.70
" ";" ";"2010M08";1337.02;884.24
" ";" ";"2010M09";1327.86;879.83
" ";" ";"2010M10";1329.12;880.36
" ";" ";"2010M11";1384.36;905.40
" ";" ";"2010M12";1367.37;904.16
" ";" ";"2011M01";1329.06;883.76
" ";" ";"2011M02";1318.13;878.07
" ";" ";"2011M03";1380.44;916.08
" ";" ";"2011M04";1340.66;890.76
" ";" ";"2011M05";1369.16;906.65
" ";" ";"2011M06";1393.31;923.90
" ";" ";"2011M07";1390.89;920.23
" ";" ";"2011M08";1408.56;929.89
" ";" ";"2011M09";1369.08;907.67
" ";" ";"2011M10";1379.06;913.23
" ";" ";"2011M11";1442.47;939.81
" ";" ";"2011M12";1393.48;923.52
" ";" ";"2012M01";1396.15;927.92
" ";" ";"2012M02";1399.61;928.29
" ";" ";"2012M03";1413.22;936.34
" ";" ";"2012M04";1383.82;918.84
" ";" ";"2012M05";1430.82;945.80
" ";" ";"2012M06";1337.28;893.69
" ";" ";"2012M07";1349.81;899.25
" ";" ";"2012M08";1410.82;936.74
" ";" ";"2012M09";1359.75;907.43
" ";" ";"2012M10";1409.03;935.24
" ";" ";"2012M11";1443.07;940.81
" ";" ";"2012M12";1397.89;932.71
" ";" ";"2013M01";1367.75;915.11
" ";" ";"2013M02";1396.39;926.41
" ";" ";"2013M03";1376.92;922.74
" ";" ";"2013M04";1397.56;934.59
" ";" ";"2013M05";1423.83;949.38
" ";" ";"2013M06";1371.20;918.88
" ";" ";"2013M07";1416.33;946.06
" ";" ";"2013M08";1368.39;916.67
" ";" ";"2013M09";1360.10;911.24
" ";" ";"2013M10";1392.69;931.19
" ";" ";"2013M11";1431.55;939.75
" ";" ";"2013M12";1436.02;956.64
" ";" ";"2014M01";1419.29;947.00
" ";" ";"2014M02";1394.93;928.55
" ";" ";"2014M03";1412.41;939.22
" ";" ";"2014M04";1422.03;946.44
" ";" ";"2014M05";1434.82;952.49
" ";" ";"2014M06";1409.49;937.77
" ";" ";"2014M07";1427.29;952.08
" ";" ";"2014M08";1382.40;925.27
" ";" ";"2014M09";1399.48;935.83
" ";" ";"2014M10";1422.21;940.10
" ";" ";"2014M11";1463.15;971.03
" ";" ";"2014M12";1447.80;963.54
" ";" ";"2015M01";1448.81;960.35
" ";" ";"2015M02";1379.06;921.02
" ";" ";"2015M03";1414.11;944.75
" ";" ";"2015M04";1435.81;957.45
" ";" ";"2015M05";1427.55;950.66
" ";" ";"2015M06";1439.68;956.48
" ";" ";"2015M07";1443.12;956.92
" ";" ";"2015M08";1416.58;946.84
" ";" ";"2015M09";1416.17;946.39
" ";"Ravne na Koroškem"
" ";" ";"2005M01";1053.38;689.02
" ";" ";"2005M02";1032.42;677.36
" ";" ";"2005M03";1047.81;684.13
" ";" ";"2005M04";1041.16;679.96
" ";" ";"2005M05";1053.28;685.64
" ";" ";"2005M06";1073.18;692.62
" ";" ";"2005M07";1055.22;688.24
" ";" ";"2005M08";1084.68;694.01
" ";" ";"2005M09";1073.08;696.96
" ";" ";"2005M10";1083.38;700.71
" ";" ";"2005M11";1211.30;778.75
" ";" ";"2005M12";1077.08;704.55
" ";" ";"2006M01";1081.56;708.90
" ";" ";"2006M02";1078.04;705.66
" ";" ";"2006M03";1078.41;706.43
" ";" ";"2006M04";1076.19;705.22
" ";" ";"2006M05";1091.65;710.30
" ";" ";"2006M06";1113.44;725.49
" ";" ";"2006M07";1102.43;719.14
" ";" ";"2006M08";1141.58;731.90
" ";" ";"2006M09";1091.67;708.93
" ";" ";"2006M10";1112.03;720.75
" ";" ";"2006M11";1230.16;787.46
" ";" ";"2006M12";1104.48;737.28
" ";" ";"2007M01";1116.89;745.07
" ";" ";"2007M02";1107.85;738.11
" ";" ";"2007M03";1129.02;751.22
" ";" ";"2007M04";1119.49;744.52
" ";" ";"2007M05";1133.60;750.85
" ";" ";"2007M06";1133.15;751.34
" ";" ";"2007M07";1133.84;752.79
" ";" ";"2007M08";1166.55;771.29
" ";" ";"2007M09";1180.43;779.00
" ";" ";"2007M10";1227.41;779.80
" ";" ";"2007M11";1302.02;852.73
" ";" ";"2007M12";1187.65;788.38
" ";" ";"2008M01";1197.83;790.50
" ";" ";"2008M02";1217.30;804.09
" ";" ";"2008M03";1236.36;816.70
" ";" ";"2008M04";1240.91;816.71
" ";" ";"2008M05";1231.72;814.34
" ";" ";"2008M06";1263.49;831.60
" ";" ";"2008M07";1241.69;819.26
" ";" ";"2008M08";1299.48;854.16
" ";" ";"2008M09";1301.10;853.20
" ";" ";"2008M10";1296.46;851.74
" ";" ";"2008M11";1428.17;930.88
" ";" ";"2008M12";1327.76;875.53
" ";" ";"2009M01";1318.66;867.68
" ";" ";"2009M02";1288.73;853.36
" ";" ";"2009M03";1296.99;858.70
" ";" ";"2009M04";1292.39;853.54
" ";" ";"2009M05";1287.32;853.63
" ";" ";"2009M06";1299.27;859.51
" ";" ";"2009M07";1289.21;853.65
" ";" ";"2009M08";1300.27;857.57
" ";" ";"2009M09";1307.21;866.63
" ";" ";"2009M10";1335.75;876.71
" ";" ";"2009M11";1398.12;911.51
" ";" ";"2009M12";1320.19;872.86
" ";" ";"2010M01";1333.62;878.77
" ";" ";"2010M02";1338.14;885.25
" ";" ";"2010M03";1363.03;898.54
" ";" ";"2010M04";1370.94;901.41
" ";" ";"2010M05";1368.77;900.61
" ";" ";"2010M06";1386.27;911.19
" ";" ";"2010M07";1358.10;896.89
" ";" ";"2010M08";1386.01;913.80
" ";" ";"2010M09";1390.85;915.31
" ";" ";"2010M10";1470.39;960.26
" ";" ";"2010M11";1447.82;946.70
" ";" ";"2010M12";1400.73;919.95
" ";" ";"2011M01";1396.08;922.24
" ";" ";"2011M02";1399.38;924.17
" ";" ";"2011M03";1420.68;934.85
" ";" ";"2011M04";1425.73;939.33
" ";" ";"2011M05";1430.84;940.46
" ";" ";"2011M06";1440.83;946.49
" ";" ";"2011M07";1429.35;941.20
" ";" ";"2011M08";1414.79;932.21
" ";" ";"2011M09";1425.06;937.17
" ";" ";"2011M10";1428.39;938.86
" ";" ";"2011M11";1607.99;1043.16
" ";" ";"2011M12";1462.70;944.00
" ";" ";"2012M01";1432.49;944.18
" ";" ";"2012M02";1430.90;943.80
" ";" ";"2012M03";1432.92;944.83
" ";" ";"2012M04";1457.63;957.07
" ";" ";"2012M05";1454.12;955.98
" ";" ";"2012M06";1434.57;945.31
" ";" ";"2012M07";1424.40;939.64
" ";" ";"2012M08";1428.80;943.31
" ";" ";"2012M09";1430.95;943.38
" ";" ";"2012M10";1529.60;1002.42
" ";" ";"2012M11";1487.08;974.17
" ";" ";"2012M12";1439.22;948.02
" ";" ";"2013M01";1442.22;957.41
" ";" ";"2013M02";1424.45;948.00
" ";" ";"2013M03";1446.51;958.01
" ";" ";"2013M04";1447.66;952.22
" ";" ";"2013M05";1449.98;960.16
" ";" ";"2013M06";1454.13;964.50
" ";" ";"2013M07";1440.85;954.38
" ";" ";"2013M08";1440.53;954.60
" ";" ";"2013M09";1452.00;959.48
" ";" ";"2013M10";1456.87;962.45
" ";" ";"2013M11";1678.74;1070.25
" ";" ";"2013M12";1474.96;972.28
" ";" ";"2014M01";1460.94;965.74
" ";" ";"2014M02";1457.90;963.44
" ";" ";"2014M03";1457.75;962.62
" ";" ";"2014M04";1462.87;968.65
" ";" ";"2014M05";1469.99;968.76
" ";" ";"2014M06";1480.39;976.92
" ";" ";"2014M07";1464.51;965.40
" ";" ";"2014M08";1462.85;964.10
" ";" ";"2014M09";1491.11;981.52
" ";" ";"2014M10";1486.07;977.49
" ";" ";"2014M11";1746.37;1122.07
" ";" ";"2014M12";1505.81;980.20
" ";" ";"2015M01";1486.70;977.99
" ";" ";"2015M02";1477.71;972.62
" ";" ";"2015M03";1508.63;988.52
" ";" ";"2015M04";1515.18;992.75
" ";" ";"2015M05";1500.87;983.76
" ";" ";"2015M06";1519.26;982.56
" ";" ";"2015M07";1510.82;987.35
" ";" ";"2015M08";1483.99;975.66
" ";" ";"2015M09";1506.65;987.30
